author_id	full_name	first_name	n_pubs	gender	discipline
14199002	geurts, p	pierre	51	m	COMPUTER SCIENCES
14748456	godeau, jm	jean-marie	70	m	CLINICAL MEDICINE
14752968	nisolle, jf	jean-francois	36	m	CLINICAL MEDICINE
15461562	wintjens, r	rene	70	m	BASIC LIFE SCIENCES
16005685	ducene, jc	jean-charles	27	m	CREATIVE ARTS, CULTURE AND MUSIC
16009730	macharis, c	cathy	73	f	ELECTRICAL ENGINEERING AND TELECOMMUNICATION
16017535	kruithof, e	elli	117	f	CLINICAL MEDICINE
17616869	markine-goriaynoff, n	nicolas	15	m	BIOMEDICAL SCIENCES
18473985	dhooge, i	ingeborg	136	f	CLINICAL MEDICINE
20076777	plompen, a	arjan j. m.	209	m	PHYSICS AND MATERIALS SCIENCE
22236662	willems, g	guy	121	m	CLINICAL MEDICINE
22899196	deutsch, f	felix	37	m	ENVIRONMENTAL SCIENCES AND TECHNOLOGY
23058546	fransen, k	katrien	135	f	BIOMEDICAL SCIENCES
23073840	polman, k	katja	142	f	CLINICAL MEDICINE
23564702	boudewyns, a	an	91	f	CLINICAL MEDICINE
24043582	degreef, t	toon	15	m	CLINICAL MEDICINE
24700964	tourwe, d	dirk	263	m	CHEMISTRY AND CHEMICAL ENGINEERING
25702493	smolders, i	ilse	197	f	BIOMEDICAL SCIENCES
25706720	van laecke, e	erik	86	m	CLINICAL MEDICINE
26362638	dejonghe, l	leon	16	m	EARTH SCIENCES AND TECHNOLOGY
26365527	van aelst, i	ilse	24	f	BASIC LIFE SCIENCES
26379417	rozenski, j	jef	168	m	CHEMISTRY AND CHEMICAL ENGINEERING
26635868	rouze, p	pierre	102	m	BASIC LIFE SCIENCES
27031651	ectors, n	nadine	173	f	CLINICAL MEDICINE
28010786	dauby, p	patrick	28	m	BIOLOGICAL SCIENCES
28020228	vanhoutte, k	koen	12	m	CHEMISTRY AND CHEMICAL ENGINEERING
28354629	de buyzere, m	marc l.	445	m	CLINICAL MEDICINE
28729103	das, k	krishna	84	m	ENVIRONMENTAL SCIENCES AND TECHNOLOGY
