author_idA	author_idB	n_joint_papers	n_joint_papers_frac
647016	6582470	69	13.144480519467
858370	6588941	1	.166666666666
4741906	6591614	3	.866666666666
1202046	6595057	5	.517156862743
5597738	6596577	1	.500000000000
858	6608229	1	.125000000000
5184909	6608229	3	.550000000000
6139080	6657839	4	.355117679254
1232026	6668103	5	.692099567099
609599	6718424	1	.043478260869
5501436	6728920	2	.533333333333
647016	6731478	1	.166666666666
2963122	6731478	1	.166666666666
4536497	6739244	15	1.323243423238
2999275	6752339	66	13.573542144118
5194529	6752339	1	.066666666666
3799198	6773045	1	.166666666666
4501222	6773045	2	.167832167832
4626233	6773553	1	.250000000000
3308107	6774799	7	1.076190476189
4031942	6774799	8	.488524844718
5194529	6785472	4	.958333333333
3406833	6787139	1	.083333333333
3840240	6790799	1	.125000000000
3362999	6813798	1	.125000000000
2616030	6834091	1	.250000000000
112917	6835792	2	.267857142857
3904089	6835792	4	.741666666666
2875230	6842249	1	.111111111111
5778111	6880366	2	.309523809523
465265	6886781	4	1.809523809523
764305	6925129	3	.535714285714
4846620	6925129	1	.166666666666
4196552	7039237	1	.052631578947
3758026	7089860	2	.400000000000
2573323	7097869	1	.083333333333
4846620	7097869	1	.083333333333
3990498	7115598	1	.500000000000
2212528	7158982	1	.142857142857
2722709	7167919	1	.250000000000
590484	7168088	1	.333333333333
1288282	7173226	1	.500000000000
3931258	7394048	5	.346816560631
690940	7398884	1	.200000000000
2432406	7398884	2	1.000000000000
112917	7402412	1	.003861003861
2406153	7402412	1	.016949152542
2338619	7431357	1	.166666666666
6422022	7450901	1	.166666666666
5828304	7462030	1	.142857142857
873123	7483031	2	.222222222222
5588968	7483031	2	.267857142857
3420729	7521157	2	.666666666666
4673645	7527733	1	.200000000000
5499903	7586238	2	.392857142857
5533868	7611929	1	.166666666666
5825570	7626203	6	.988095238094
1410194	7649894	1	.111111111111
4642489	7649894	8	.636696636695
2722709	7651618	40	5.726176601169
3423768	7653134	1	.125000000000
7080483	7681853	3	.396825396825
4241299	7722179	2	.250000000000
2946852	7753137	2	.100490196077
6475972	7753137	1	.125000000000
7462347	7780011	3	.616666666666
6160622	7780035	1	.250000000000
3974644	7789571	1	.250000000000
4849295	7819121	1	.090909090909
1868961	7828164	1	.100000000000
3937320	7828164	3	.533333333332
7084656	7841161	2	.242857142857
3566908	7846023	3	.243589743589
7482628	7846023	25	2.401753727229
1683873	7870562	2	.500000000000
764305	7870676	3	.535714285714
785587	7872281	3	.509523809523
1950174	7877200	480	.215443551941
104655	7886567	2	.700000000000
4783147	7886846	1	.166666666666
7520513	7889865	19	8.583333333331
1232026	7899277	4	.424242424241
202980	7904923	2	.182539682539
1042987	7921346	3	.499999999998
4423858	7921346	1	.142857142857
4526778	7921346	2	.833333333333
401007	7931859	1	.111111111111
2823593	7945472	3	.112745098037
2963122	7945472	2	.194444444444
3734572	7961634	1	.066666666666
5758999	7966756	1	1.000000000000
2949498	7977767	1	.090909090909
2163424	7979087	5	1.017857142856
7974410	7979092	4	.709523809523
957212	7988554	5	.733766233764
4195603	7988554	5	.777380952380
3840496	7990938	1	.166666666666
6160622	7991656	1	.083333333333
4423858	8027702	31	5.506349206342
4783147	8027702	1	.250000000000
7527733	8027702	1	.100000000000
1686223	8082256	1	.142857142857
1699098	8082256	9	.873862636838
3937320	8084541	1	.066666666666
5056012	8094966	32	3.213853892059
4889904	8111170	5	.646825396825
3040244	8116523	1	.111111111111
3836950	8169942	1	.250000000000
4554093	8169942	3	.274999999999
3075426	8177907	3	.428571428571
228910	592567	1	.500000000000
609599	870892	183	47.831190051749
1115676	1410194	1	.125000000000
858370	1519466	2	.190909090909
366398	1578924	2	.285714285714
160471	1619435	10	4.749999999998
1686223	1699098	6	.368712588223
413232	1724993	1	.111111111111
858451	1768914	9	1.158369408368
1232026	1959679	2	.160256410256
1712696	2312743	2	.333333333332
1001929	2314622	20	6.466666666662
1107318	2321796	3	.326190476190
668253	2338619	6	.829304029303
1699098	2338619	2	.285714285714
1436308	2393940	2	.250000000000
981772	2397125	1	.166666666666
1699098	2406153	1	.058823529411
902019	2497304	8	1.409523809521
1648344	2515316	1	.055555555555
1500372	2573323	1	.125000000000
2580845	2722709	2	.160256410256
2256627	2767783	1	.200000000000
1573653	2784990	1	.071428571428
1210173	2789175	1	.020833333333
139255	2817282	3	.783333333333
2708133	2823593	7	.397381053868
1418928	2862643	1	.071428571428
2397125	2963122	2	.233766233766
2249338	2979004	33	9.545238095235
1648344	2999275	7	.764321789320
1149560	3031579	2	.250000000000
691713	3040184	1	.111111111111
2698690	3040184	9	1.044444444444
2823593	3040184	10	.629944769279
139255	3040244	59	20.235714285707
1575843	3040244	1	.166666666666
2875230	3088770	1	.200000000000
2451507	3094752	1	.250000000000
2533106	3100837	1	.062500000000
1202046	3111578	1	.083333333333
145908	3183558	4	1.583333333333
2823593	3201593	2	.191666666666
1636653	3222419	1	.142857142857
2451690	3248305	3	.726190476190
2837454	3250712	1	.111111111111
2146972	3308107	2	.071428571428
2616030	3362999	1	.333333333333
1105541	3376671	2	.400000000000
1648344	3403937	5	.563131313130
1401423	3406833	2	.283333333333
2771439	3406833	1	.125000000000
